,date,location,sales
63,2020-01-17,Banglore,6399
64,2020-04-01,Delhi,8310
65,2020-05-12,Kolkata,7875
66,2020-03-25,Mumbai,8668
67,2020-03-22,Mumbai,5015
68,2020-05-22,Delhi,9967
69,2020-01-01,Delhi,8929
70,2020-02-27,Kolkata,5063
71,2020-03-31,Kolkata,4025
72,2020-04-11,Delhi,6097
73,2020-01-31,Delhi,3883
74,2020-05-03,Delhi,4140
75,2020-04-17,Mumbai,2268
76,2020-05-13,Banglore,4351
77,2020-02-13,Delhi,8328
78,2020-05-27,Banglore,7443
79,2020-01-22,Banglore,3788
80,2020-02-29,Delhi,3081
81,2020-02-27,Delhi,8974
82,2020-04-30,Mumbai,7350
83,2020-02-06,Delhi,2771
84,2020-02-17,Kolkata,6387
85,2020-04-05,Banglore,4312
86,2020-05-01,Delhi,2005
87,2020-04-20,Mumbai,6598
88,2020-01-05,Delhi,4530
89,2020-03-17,Mumbai,7745
90,2020-05-30,Kolkata,3358
91,2020-01-21,Mumbai,5087
92,2020-03-05,Banglore,5876
93,2020-04-09,Delhi,8547
94,2020-02-01,Delhi,5683
95,2020-01-11,Kolkata,9378
96,2020-01-05,Mumbai,5931
97,2020-05-05,Delhi,6951
98,2020-02-09,Mumbai,8799
99,2020-02-22,Banglore,9429
100,2020-01-13,Delhi,6143
101,2020-03-22,Delhi,3108
102,2020-02-29,Delhi,5868
103,2020-03-01,Kolkata,6839
104,2020-03-09,Kolkata,9708
105,2020-05-17,Banglore,2369
106,2020-01-14,Mumbai,9102
107,2020-05-30,Kolkata,4393
108,2020-05-30,Delhi,9868
109,2020-02-17,Kolkata,6122
110,2020-02-05,Banglore,9598
111,2020-04-07,Delhi,2951
112,2020-02-25,Kolkata,6455
113,2020-04-10,Banglore,8002
114,2020-02-19,Mumbai,7194
115,2020-04-11,Delhi,7526
116,2020-04-10,Delhi,9141
117,2020-05-29,Kolkata,5411
118,2020-01-19,Kolkata,7312
119,2020-05-19,Kolkata,7471
120,2020-05-08,Kolkata,8549
121,2020-03-05,Kolkata,3053
122,2020-05-18,Delhi,8219
123,2020-05-31,Kolkata,4380
124,2020-03-28,Banglore,6685
125,2020-01-30,Kolkata,3146
126,2020-01-08,Banglore,9486
127,2020-01-26,Delhi,8561
128,2020-04-04,Banglore,6865
129,2020-04-28,Mumbai,7684
130,2020-03-11,Banglore,6129
131,2020-02-10,Mumbai,2329
132,2020-03-06,Delhi,8198
133,2020-05-19,Mumbai,5267
134,2020-02-01,Delhi,6493
135,2020-05-01,Mumbai,9328
136,2020-04-09,Mumbai,7941
137,2020-04-03,Banglore,6633
138,2020-03-29,Kolkata,2809
139,2020-02-12,Delhi,3178
140,2020-03-02,Delhi,9230
141,2020-05-26,Delhi,9232
142,2020-02-15,Banglore,2842
143,2020-02-17,Banglore,2153
144,2020-04-30,Kolkata,9367
145,2020-04-26,Delhi,9158
146,2020-05-19,Banglore,4819
147,2020-05-30,Delhi,3355
148,2020-02-01,Mumbai,8907
149,2020-05-28,Delhi,8072
150,2020-04-12,Kolkata,8385
151,2020-04-02,Delhi,9416
152,2020-05-20,Mumbai,2505
153,2020-04-24,Kolkata,8237
154,2020-01-22,Mumbai,8062
155,2020-01-10,Banglore,6263
156,2020-05-07,Banglore,9025
157,2020-04-16,Banglore,7525
158,2020-03-09,Kolkata,5921
159,2020-05-25,Delhi,3296
160,2020-03-18,Mumbai,6459
161,2020-02-01,Mumbai,5459
162,2020-01-26,Kolkata,8911
163,2020-03-30,Mumbai,2755
164,2020-04-18,Mumbai,2243
165,2020-02-14,Delhi,9014
166,2020-04-17,Delhi,5116
167,2020-05-14,Delhi,3723
168,2020-01-07,Delhi,3706
169,2020-02-26,Banglore,3790
170,2020-04-11,Delhi,2176
171,2020-05-27,Mumbai,4150
172,2020-03-24,Banglore,5584
173,2020-03-13,Banglore,5286
174,2020-03-26,Mumbai,4994
175,2020-05-24,Delhi,5914
176,2020-02-13,Mumbai,3496
177,2020-04-09,Banglore,6524
178,2020-04-23,Kolkata,5697
179,2020-01-27,Delhi,5737
180,2020-03-13,Mumbai,4056
181,2020-05-30,Mumbai,2808
182,2020-03-09,Kolkata,3667
183,2020-02-04,Delhi,9318
184,2020-01-26,Mumbai,6435
185,2020-03-29,Mumbai,8962
186,2020-04-23,Mumbai,5950
187,2020-01-08,Mumbai,7343
188,2020-04-20,Delhi,4840
189,2020-03-14,Delhi,4869
190,2020-01-08,Mumbai,6814
191,2020-04-26,Delhi,2899
192,2020-01-28,Delhi,8900
193,2020-03-27,Banglore,4396
194,2020-02-18,Banglore,3610
195,2020-02-09,Kolkata,7656
196,2020-03-19,Delhi,2472
197,2020-02-28,Delhi,3141
198,2020-05-06,Kolkata,4577
199,2020-04-30,Delhi,6397
200,2020-02-28,Mumbai,3483
201,2020-02-24,Mumbai,5966
202,2020-02-19,Banglore,2027
203,2020-01-09,Delhi,3472
204,2020-04-07,Banglore,8355
205,2020-05-27,Delhi,3692
206,2020-03-10,Banglore,3994
207,2020-05-12,Banglore,5271
208,2020-02-07,Mumbai,2021
209,2020-01-21,Delhi,9638
210,2020-02-01,Kolkata,5548
211,2020-02-02,Banglore,8150
212,2020-02-27,Delhi,4894
213,2020-03-31,Kolkata,7309
214,2020-02-21,Banglore,5433
215,2020-03-12,Kolkata,4341
216,2020-02-16,Kolkata,9911
217,2020-03-24,Banglore,5754
218,2020-01-07,Banglore,5029
219,2020-01-29,Kolkata,9371
220,2020-01-05,Banglore,3830
221,2020-02-04,Delhi,5849
222,2020-03-11,Banglore,3547
223,2020-01-16,Kolkata,7593
224,2020-01-24,Delhi,4282
225,2020-02-24,Banglore,5041
226,2020-04-29,Kolkata,5227
227,2020-04-25,Kolkata,5275
228,2020-03-01,Kolkata,9879
229,2020-01-16,Mumbai,3471
230,2020-05-20,Kolkata,6923
231,2020-05-14,Mumbai,3628
232,2020-05-29,Kolkata,8817
233,2020-02-13,Delhi,3784
234,2020-02-25,Mumbai,4769
235,2020-05-28,Kolkata,4093
236,2020-01-07,Delhi,8638
237,2020-05-26,Banglore,5246
238,2020-04-05,Kolkata,2646
239,2020-05-18,Delhi,4657
240,2020-02-14,Mumbai,5658
241,2020-05-29,Kolkata,5583
242,2020-02-14,Mumbai,2462
243,2020-01-11,Kolkata,4503
244,2020-05-15,Delhi,7311
245,2020-04-01,Delhi,7731
246,2020-02-25,Kolkata,4030
247,2020-02-24,Delhi,9708
248,2020-05-06,Banglore,9020
249,2020-05-08,Mumbai,3900
250,2020-02-04,Banglore,9905
251,2020-04-27,Delhi,8711
252,2020-02-06,Mumbai,8363
253,2020-01-08,Delhi,3671
254,2020-02-06,Banglore,2928
255,2020-05-11,Kolkata,6340
256,2020-05-11,Delhi,7591
257,2020-02-07,Banglore,9692
258,2020-03-24,Kolkata,2492
259,2020-04-17,Banglore,9641
260,2020-05-25,Banglore,9183
261,2020-02-08,Kolkata,2458
262,2020-03-24,Banglore,4912
263,2020-02-23,Kolkata,2941
264,2020-03-20,Delhi,6849
265,2020-04-06,Kolkata,3345
266,2020-04-02,Kolkata,8352
267,2020-01-27,Banglore,9681
268,2020-01-16,Mumbai,4486
269,2020-03-16,Delhi,5699
270,2020-01-13,Mumbai,2696
271,2020-05-03,Delhi,2734
272,2020-04-06,Kolkata,3913
273,2020-05-28,Banglore,4596
274,2020-01-17,Delhi,4934
275,2020-03-18,Banglore,4710
276,2020-05-25,Kolkata,7522
277,2020-01-27,Banglore,3128
278,2020-04-17,Delhi,4574
279,2020-01-10,Delhi,8210
280,2020-01-17,Mumbai,7613
281,2020-02-19,Delhi,4071
282,2020-04-30,Banglore,5470
283,2020-04-19,Delhi,3870
284,2020-04-07,Mumbai,5638
285,2020-02-15,Mumbai,8816
286,2020-05-18,Delhi,8630
287,2020-04-29,Mumbai,6805
288,2020-02-20,Banglore,4447
289,2020-03-04,Banglore,4338
290,2020-05-15,Mumbai,8822
291,2020-02-22,Banglore,4909
292,2020-05-03,Mumbai,5242
293,2020-04-15,Mumbai,6127
294,2020-04-29,Kolkata,8597
295,2020-03-11,Delhi,3234
296,2020-01-13,Delhi,9774
297,2020-04-14,Delhi,7198
298,2020-03-06,Delhi,9990
299,2020-03-24,Delhi,9252
300,2020-05-01,Kolkata,9077
301,2020-01-25,Mumbai,8228
302,2020-02-21,Mumbai,3231
303,2020-03-16,Mumbai,6766
304,2020-02-25,Banglore,7845
305,2020-03-08,Banglore,9723
306,2020-05-02,Banglore,2201
307,2020-02-08,Banglore,7227
308,2020-03-31,Kolkata,3849
309,2020-02-12,Banglore,3306
310,2020-03-04,Banglore,2013
311,2020-03-29,Mumbai,2577
312,2020-03-12,Banglore,9027
313,2020-01-26,Kolkata,4802
314,2020-01-21,Mumbai,6037
315,2020-03-08,Mumbai,6399
316,2020-04-29,Kolkata,9670
317,2020-01-16,Banglore,5173
318,2020-04-27,Kolkata,8398
319,2020-02-14,Banglore,4508
320,2020-05-26,Kolkata,5976
321,2020-03-23,Banglore,6641
322,2020-01-14,Mumbai,2851
323,2020-01-26,Kolkata,2332
324,2020-02-13,Banglore,5475
325,2020-01-28,Kolkata,2924
326,2020-05-23,Kolkata,3585
327,2020-04-04,Delhi,9692
328,2020-04-23,Mumbai,6677
329,2020-05-22,Delhi,5709
330,2020-04-15,Banglore,7809
331,2020-02-11,Mumbai,9415
332,2020-01-15,Delhi,4489
333,2020-02-27,Kolkata,2104
334,2020-02-13,Mumbai,8687
335,2020-04-30,Delhi,5200
336,2020-03-16,Delhi,2580
337,2020-05-03,Kolkata,8698
338,2020-05-11,Kolkata,7118
339,2020-04-25,Delhi,4537
340,2020-03-19,Mumbai,9726
341,2020-02-12,Mumbai,2928
342,2020-03-26,Mumbai,2832
343,2020-02-25,Banglore,4546
344,2020-05-17,Kolkata,4774
345,2020-05-09,Banglore,4911
346,2020-01-17,Banglore,9056
347,2020-05-11,Kolkata,5339
348,2020-02-14,Kolkata,7632
349,2020-05-13,Delhi,2112
350,2020-03-21,Mumbai,8233
351,2020-04-01,Delhi,4230
352,2020-05-06,Delhi,6013
353,2020-01-08,Banglore,4025
354,2020-05-14,Kolkata,8243
355,2020-05-06,Banglore,9023
356,2020-04-18,Banglore,5297
357,2020-03-13,Banglore,2363
358,2020-02-26,Banglore,7416
359,2020-05-07,Delhi,7628
360,2020-04-08,Kolkata,2489
361,2020-02-23,Delhi,7572
362,2020-02-04,Delhi,9343
363,2020-04-19,Delhi,2652
364,2020-04-04,Delhi,2116
365,2020-03-16,Banglore,3370
366,2020-05-12,Delhi,8654
367,2020-04-09,Mumbai,6217
368,2020-04-14,Delhi,5258
369,2020-02-01,Mumbai,5592
370,2020-03-22,Kolkata,3407
371,2020-03-07,Mumbai,4564
372,2020-05-05,Kolkata,6041
373,2020-01-24,Banglore,9899
374,2020-03-02,Delhi,3290
375,2020-05-11,Banglore,6260
376,2020-04-10,Banglore,9793
377,2020-02-03,Kolkata,9389
378,2020-01-23,Mumbai,6834
379,2020-03-14,Kolkata,2265
380,2020-01-31,Delhi,4990
381,2020-03-28,Mumbai,9246
382,2020-04-24,Banglore,2810
383,2020-02-16,Banglore,5251
384,2020-05-26,Mumbai,4294
385,2020-03-24,Delhi,4813
386,2020-01-29,Kolkata,2799
387,2020-05-02,Banglore,3274
388,2020-05-05,Banglore,5294
389,2020-05-27,Kolkata,9908
390,2020-03-22,Delhi,5877
391,2020-02-02,Kolkata,6537
392,2020-04-02,Delhi,2848
393,2020-03-08,Banglore,4877
394,2020-05-25,Delhi,2834
395,2020-05-19,Delhi,4967
396,2020-03-16,Banglore,2821
397,2020-04-04,Delhi,7268
398,2020-05-29,Banglore,3992
399,2020-01-01,Mumbai,2179
400,2020-02-07,Delhi,7514
401,2020-05-12,Mumbai,2308
402,2020-02-18,Banglore,4721
403,2020-04-05,Banglore,9634
404,2020-01-08,Delhi,2173
405,2020-02-07,Kolkata,9403
406,2020-01-02,Banglore,5641
407,2020-01-23,Kolkata,2825
408,2020-01-30,Kolkata,7669
409,2020-03-05,Kolkata,3318
410,2020-01-30,Kolkata,8072
411,2020-02-21,Mumbai,2730
412,2020-02-02,Banglore,8382
413,2020-01-16,Mumbai,4580
414,2020-03-14,Delhi,4319
415,2020-04-11,Kolkata,2159
416,2020-02-02,Banglore,9045
417,2020-01-02,Mumbai,2261
418,2020-03-21,Banglore,3245
419,2020-01-09,Delhi,5496
420,2020-01-21,Mumbai,9909
421,2020-03-26,Banglore,2287
422,2020-05-03,Delhi,2749
423,2020-03-12,Delhi,7180
424,2020-03-02,Banglore,8985
425,2020-05-05,Delhi,9875
426,2020-01-07,Delhi,7895
427,2020-04-17,Delhi,5947
428,2020-03-23,Banglore,4147
429,2020-02-27,Kolkata,5532
430,2020-01-17,Delhi,6976
431,2020-03-12,Delhi,2614
432,2020-04-12,Banglore,5267
433,2020-04-04,Kolkata,4821
434,2020-04-21,Mumbai,2137
435,2020-04-14,Kolkata,2578
436,2020-02-25,Delhi,9781
437,2020-02-17,Kolkata,6831
438,2020-01-13,Kolkata,6846
439,2020-05-17,Kolkata,8568
440,2020-04-25,Banglore,7962
441,2020-03-31,Kolkata,2535
442,2020-03-10,Delhi,2526
443,2020-01-09,Banglore,3023
444,2020-03-29,Banglore,9876
445,2020-05-02,Mumbai,9137
446,2020-01-22,Kolkata,5440
447,2020-01-05,Banglore,3512
448,2020-01-06,Kolkata,7996
449,2020-02-04,Mumbai,7977
450,2020-05-26,Kolkata,6055
451,2020-01-13,Delhi,4776
452,2020-05-15,Mumbai,5298
453,2020-02-05,Mumbai,7203
454,2020-03-28,Mumbai,4110
455,2020-02-12,Delhi,5095
456,2020-01-25,Delhi,6191
457,2020-03-14,Delhi,3677
458,2020-03-08,Mumbai,5803
459,2020-03-24,Kolkata,2443
460,2020-02-29,Mumbai,5676
461,2020-04-02,Banglore,3272
462,2020-04-15,Delhi,5967
463,2020-01-21,Banglore,4727
464,2020-03-08,Kolkata,9940
465,2020-03-29,Delhi,7158
466,2020-04-18,Kolkata,8617
467,2020-02-21,Kolkata,3468
468,2020-03-18,Banglore,2537
469,2020-01-22,Mumbai,8355
470,2020-03-01,Banglore,4953
471,2020-02-19,Mumbai,7659
472,2020-05-19,Mumbai,6507
473,2020-01-11,Mumbai,7831
474,2020-05-27,Banglore,5436
475,2020-05-28,Mumbai,5218
476,2020-01-07,Banglore,6690
477,2020-03-30,Kolkata,8922
478,2020-05-29,Delhi,8624
479,2020-01-06,Banglore,5026
480,2020-05-18,Delhi,2177
481,2020-05-27,Mumbai,7942
482,2020-03-17,Banglore,5991
483,2020-01-20,Banglore,2493
484,2020-03-18,Kolkata,7256
485,2020-05-19,Banglore,4092
486,2020-03-13,Delhi,5295
487,2020-05-30,Banglore,5816
488,2020-04-06,Mumbai,5723
489,2020-04-20,Kolkata,9800
490,2020-02-27,Mumbai,2695
491,2020-02-04,Banglore,2734
492,2020-01-26,Kolkata,8420
493,2020-04-06,Kolkata,7740
494,2020-03-15,Delhi,8825
495,2020-02-24,Mumbai,4931
496,2020-02-17,Delhi,9058
497,2020-02-20,Delhi,5195
498,2020-01-28,Kolkata,9101
499,2020-05-03,Kolkata,9847
500,2020-02-24,Kolkata,7821
501,2020-05-02,Banglore,7323
502,2020-05-19,Delhi,8760
503,2020-01-10,Banglore,9031
504,2020-05-31,Mumbai,8776
505,2020-01-10,Mumbai,5924
506,2020-03-26,Banglore,4154
507,2020-03-15,Delhi,7038
508,2020-01-03,Kolkata,6357
509,2020-03-10,Kolkata,2005
510,2020-02-24,Kolkata,6099
511,2020-02-10,Kolkata,7613
512,2020-01-08,Kolkata,7251
513,2020-02-09,Kolkata,9447
514,2020-03-09,Delhi,9161
515,2020-01-18,Kolkata,4567
516,2020-01-12,Banglore,8923
517,2020-02-09,Delhi,9137
518,2020-03-14,Mumbai,3919
519,2020-02-05,Mumbai,8034
520,2020-01-20,Kolkata,3809
521,2020-05-14,Banglore,3570
522,2020-01-02,Delhi,3200
523,2020-04-30,Delhi,9543
524,2020-04-29,Kolkata,2059
525,2020-05-21,Kolkata,4534
526,2020-05-10,Kolkata,4142
527,2020-05-27,Delhi,3706
528,2020-05-20,Mumbai,6276
529,2020-04-26,Kolkata,2847
530,2020-02-28,Mumbai,8830
531,2020-02-08,Delhi,5197
532,2020-03-25,Delhi,5057
533,2020-02-21,Mumbai,2518
534,2020-01-10,Mumbai,6044
535,2020-04-29,Banglore,3372
536,2020-01-30,Mumbai,8712
537,2020-05-31,Kolkata,7667
538,2020-04-20,Delhi,7385
539,2020-03-02,Mumbai,2666
540,2020-01-15,Kolkata,7155
541,2020-05-05,Kolkata,5149
542,2020-03-30,Delhi,9787
543,2020-03-08,Kolkata,4489
544,2020-03-05,Mumbai,3368
545,2020-05-08,Delhi,8670
546,2020-01-13,Delhi,8749
547,2020-01-21,Banglore,5338
548,2020-05-17,Banglore,3449
549,2020-04-02,Mumbai,4732
550,2020-05-18,Mumbai,6933
551,2020-03-07,Kolkata,2563
552,2020-03-15,Mumbai,4132
553,2020-01-21,Delhi,7169
554,2020-05-03,Banglore,4229
555,2020-04-20,Delhi,2017
556,2020-02-11,Kolkata,6102
557,2020-01-21,Delhi,5410
558,2020-05-17,Delhi,8488
559,2020-03-01,Mumbai,7498
560,2020-02-17,Kolkata,6449
561,2020-05-13,Delhi,4594
562,2020-05-24,Mumbai,6946
563,2020-04-15,Kolkata,2005
564,2020-01-05,Banglore,7415
565,2020-02-08,Kolkata,2573
566,2020-03-22,Delhi,5092
567,2020-05-21,Kolkata,4401
568,2020-03-02,Banglore,8466
569,2020-03-08,Banglore,6221
570,2020-05-01,Mumbai,2404
571,2020-03-16,Banglore,4155
572,2020-02-12,Delhi,7255
573,2020-05-24,Banglore,6556
574,2020-03-31,Kolkata,5994
575,2020-03-18,Mumbai,4714
576,2020-01-15,Banglore,7494
577,2020-02-09,Kolkata,8680
578,2020-01-18,Mumbai,8336
579,2020-03-19,Kolkata,3466
580,2020-03-11,Banglore,5659
581,2020-02-22,Banglore,3784
582,2020-05-12,Kolkata,3872
583,2020-04-04,Delhi,4413
584,2020-01-29,Mumbai,5255
585,2020-04-01,Banglore,7971
586,2020-01-26,Banglore,9745
587,2020-04-01,Mumbai,3221
588,2020-03-19,Mumbai,5970
589,2020-04-05,Mumbai,6322
590,2020-03-30,Mumbai,5495
591,2020-03-15,Banglore,6878
592,2020-03-24,Banglore,5757
593,2020-01-16,Delhi,4650
594,2020-01-10,Kolkata,7463
595,2020-01-28,Banglore,9926
596,2020-01-24,Kolkata,8195
597,2020-04-26,Kolkata,8296
598,2020-01-09,Delhi,5131
599,2020-03-08,Banglore,4760
600,2020-03-28,Delhi,9085
601,2020-01-21,Mumbai,5295
602,2020-03-30,Kolkata,8834
603,2020-01-01,Delhi,9286
604,2020-03-25,Kolkata,6280
605,2020-04-08,Kolkata,7427
606,2020-05-27,Kolkata,5094
607,2020-04-22,Kolkata,8617
608,2020-02-15,Kolkata,8464
609,2020-05-08,Banglore,2855
610,2020-01-13,Delhi,2141
611,2020-03-16,Kolkata,7454
612,2020-01-28,Banglore,9074
613,2020-04-18,Mumbai,4696
614,2020-03-13,Banglore,8372
615,2020-04-01,Banglore,9766
616,2020-02-12,Delhi,8837
617,2020-04-14,Kolkata,8399
618,2020-03-08,Banglore,3109
619,2020-01-16,Banglore,7464
620,2020-01-06,Kolkata,9992
621,2020-04-01,Mumbai,3035
622,2020-03-17,Mumbai,9828
623,2020-03-02,Kolkata,2347
624,2020-03-27,Banglore,5971
625,2020-02-02,Kolkata,5018
626,2020-03-27,Mumbai,4365
627,2020-01-13,Banglore,4486
628,2020-01-21,Kolkata,9874
629,2020-02-25,Kolkata,9539
630,2020-02-26,Kolkata,5121
631,2020-01-12,Banglore,3742
632,2020-03-27,Kolkata,6125
633,2020-05-16,Banglore,2331
634,2020-01-03,Banglore,6193
635,2020-04-08,Kolkata,3101
636,2020-02-19,Delhi,8861
637,2020-02-05,Delhi,4343
638,2020-01-11,Kolkata,2336
639,2020-02-06,Mumbai,8546
640,2020-03-23,Banglore,6501
641,2020-05-13,Mumbai,2650
642,2020-02-18,Banglore,7570
643,2020-03-08,Banglore,7836
644,2020-01-05,Banglore,2210
645,2020-05-31,Mumbai,3308
646,2020-03-25,Delhi,5175
647,2020-02-10,Mumbai,5412
648,2020-03-26,Mumbai,4315
649,2020-04-18,Mumbai,2540
650,2020-03-01,Delhi,5170
651,2020-02-25,Banglore,8820
652,2020-04-01,Delhi,4221
653,2020-01-09,Mumbai,2198
654,2020-04-24,Delhi,2808
655,2020-01-14,Mumbai,8762
656,2020-01-02,Banglore,9916
657,2020-03-04,Mumbai,7058
658,2020-02-10,Kolkata,7997
659,2020-03-02,Delhi,6441
660,2020-02-22,Mumbai,8099
661,2020-05-31,Delhi,9264
662,2020-03-17,Banglore,3980
663,2020-02-27,Banglore,2811
664,2020-01-18,Banglore,7426
665,2020-03-10,Mumbai,4799
666,2020-01-08,Banglore,6478
667,2020-01-23,Kolkata,7633
668,2020-05-17,Delhi,5966
669,2020-05-22,Mumbai,6373
670,2020-03-12,Mumbai,8568
671,2020-04-10,Banglore,2565
672,2020-02-28,Delhi,7833
673,2020-01-04,Delhi,4571
674,2020-05-15,Mumbai,4999
675,2020-03-21,Delhi,7622
676,2020-02-05,Mumbai,4955
677,2020-03-09,Kolkata,4993
678,2020-04-19,Banglore,2088
679,2020-02-23,Kolkata,9422
680,2020-03-16,Banglore,3072
681,2020-02-01,Mumbai,8684
682,2020-02-14,Mumbai,3155
683,2020-01-10,Banglore,5035
684,2020-05-01,Delhi,7388
685,2020-05-18,Mumbai,5046
686,2020-01-18,Mumbai,7439
687,2020-05-08,Mumbai,3557
688,2020-05-19,Mumbai,3304
689,2020-05-22,Banglore,3231
690,2020-03-31,Mumbai,6256
691,2020-02-18,Kolkata,5731
692,2020-05-26,Banglore,9388
693,2020-03-04,Mumbai,2070
694,2020-01-10,Kolkata,9607
695,2020-05-14,Banglore,5309
696,2020-04-06,Kolkata,7373
697,2020-03-09,Delhi,9881
698,2020-01-03,Banglore,9912
699,2020-04-12,Mumbai,3061
700,2020-02-20,Delhi,6511
701,2020-03-25,Kolkata,4743
702,2020-05-11,Delhi,4422
703,2020-02-03,Banglore,2661
704,2020-03-31,Banglore,7683
705,2020-01-08,Mumbai,3150
706,2020-05-11,Delhi,8177
707,2020-05-10,Delhi,3407
708,2020-04-23,Banglore,7795
709,2020-01-08,Banglore,3147
710,2020-01-13,Delhi,8327
711,2020-03-07,Kolkata,2254
712,2020-02-23,Kolkata,3599
713,2020-01-09,Kolkata,7880
714,2020-04-17,Kolkata,4122
715,2020-01-29,Mumbai,8328
716,2020-03-11,Kolkata,4525
717,2020-04-14,Banglore,8069
718,2020-01-06,Mumbai,8506
719,2020-04-09,Delhi,5515
720,2020-02-28,Kolkata,2564
721,2020-05-03,Kolkata,4679
722,2020-03-20,Mumbai,3853
723,2020-04-24,Kolkata,7095
724,2020-05-11,Kolkata,2591
725,2020-01-15,Delhi,8980
726,2020-02-27,Delhi,8950
727,2020-04-13,Delhi,8627
728,2020-03-26,Mumbai,5081
729,2020-03-08,Kolkata,5465
730,2020-03-21,Mumbai,7930
731,2020-03-02,Mumbai,4825
732,2020-03-02,Delhi,8322
733,2020-02-25,Kolkata,6260
734,2020-05-13,Banglore,2887
735,2020-01-01,Mumbai,4751
736,2020-03-27,Delhi,4716
737,2020-01-13,Mumbai,5420
738,2020-04-23,Banglore,4983
739,2020-05-14,Kolkata,5121
740,2020-02-09,Delhi,6957
741,2020-03-14,Delhi,8501
742,2020-04-03,Kolkata,4184
743,2020-01-05,Banglore,9204
744,2020-02-27,Mumbai,2580
745,2020-04-04,Banglore,9423
746,2020-05-02,Delhi,5798
747,2020-02-13,Banglore,2523
748,2020-02-23,Banglore,4449
749,2020-01-03,Banglore,8865
750,2020-01-16,Kolkata,9516
751,2020-01-26,Delhi,8317
752,2020-04-29,Mumbai,6054
753,2020-03-28,Delhi,8072
754,2020-05-24,Delhi,2965
755,2020-01-17,Delhi,2434
756,2020-01-16,Delhi,2419
757,2020-03-05,Delhi,7690
758,2020-02-01,Banglore,6938
759,2020-05-22,Mumbai,4041
760,2020-04-15,Banglore,5194
761,2020-04-01,Kolkata,9293
762,2020-01-01,Mumbai,3923
763,2020-02-11,Banglore,5170
764,2020-03-23,Kolkata,8622
765,2020-03-23,Kolkata,6372
766,2020-02-02,Delhi,8148
767,2020-01-14,Banglore,8226
768,2020-03-09,Banglore,7317
769,2020-02-28,Banglore,4812
770,2020-03-07,Mumbai,4256
771,2020-01-19,Banglore,8177
772,2020-03-20,Mumbai,5139
773,2020-03-30,Banglore,5657
774,2020-03-02,Mumbai,8626
775,2020-04-11,Mumbai,8804
776,2020-02-03,Mumbai,8774
777,2020-01-26,Delhi,4973
778,2020-05-02,Delhi,6135
779,2020-01-07,Delhi,5063
780,2020-01-11,Kolkata,8975
781,2020-04-22,Mumbai,3346
782,2020-04-11,Kolkata,3615
783,2020-04-11,Banglore,5315
784,2020-03-02,Banglore,6315
785,2020-01-29,Banglore,4383
786,2020-03-08,Delhi,2712
787,2020-05-13,Delhi,9634
788,2020-04-14,Kolkata,6763
789,2020-04-23,Delhi,4410
790,2020-05-19,Kolkata,3036
791,2020-01-10,Mumbai,7421
792,2020-01-17,Mumbai,6237
793,2020-03-05,Kolkata,2501
794,2020-02-17,Kolkata,3490
795,2020-03-27,Banglore,4545
796,2020-04-02,Mumbai,4594
797,2020-01-31,Banglore,5795
798,2020-02-29,Banglore,9868
